anno,ateneo,area,gruppo,classe_laurea,classe_des,nome_corso,level,provincia,comune,accesso,didattica
2024,Roma La Sapienza,Sanitaria e Agro-Veterinaria,Medico-Sanitario e Farmaceutico,L/SNT3,Professioni sanitarie tecniche,Tecniche Audiometriche (Abilitante alla Professione Sanitaria di Audiometrista),triennale,ROMA,ROMA,nazionale,in presenza
2024,Roma La Sapienza,Sanitaria e Agro-Veterinaria,Medico-Sanitario e Farmaceutico,L/SNT3,Professioni sanitarie tecniche,Tecniche Audioprotesiche (Abilitante alla Professione Sanitaria di Audioprotesista),triennale,ROMA,ROMA,nazionale,in presenza
2024,Roma La Sapienza,Sanitaria e Agro-Veterinaria,Medico-Sanitario e Farmaceutico,L/SNT3,Professioni sanitarie tecniche,Tecniche di Fisiopatologia Cardiocircolatoria e Perfusione Cardiovascolare (Abilitante alla Professione Sanitaria di Tecnico di Fisiopatologia Cardiocircolatoria e Perfusione Cardiovascolare),triennale,ROMA,ROMA,nazionale,in presenza
2024,Roma La Sapienza,Sanitaria e Agro-Veterinaria,Medico-Sanitario e Farmaceutico,L/SNT3,Professioni sanitarie tecniche,Tecniche di Laboratorio Biomedico (Abilitante alla Professione Sanitaria di Tecnico di Laboratorio Biomedico),triennale,ISERNIA,POZZILLI,nazionale,in presenza
2024,Roma La Sapienza,Sanitaria e Agro-Veterinaria,Medico-Sanitario e Farmaceutico,L/SNT3,Professioni sanitarie tecniche,Tecniche di Laboratorio Biomedico (Abilitante alla Professione Sanitaria di Tecnico di Laboratorio Biomedico),triennale,LATINA,LATINA,nazionale,in presenza
2024,Roma La Sapienza,Sanitaria e Agro-Veterinaria,Medico-Sanitario e Farmaceutico,L/SNT3,Professioni sanitarie tecniche,Tecniche di Laboratorio Biomedico (Abilitante alla Professione Sanitaria di Tecnico di Laboratorio Biomedico),triennale,RIETI,RIETI,nazionale,in presenza
2024,Roma La Sapienza,Sanitaria e Agro-Veterinaria,Medico-Sanitario e Farmaceutico,L/SNT3,Professioni sanitarie tecniche,Tecniche di Laboratorio Biomedico (Abilitante alla Professione Sanitaria di Tecnico di Laboratorio Biomedico),triennale,ROMA,ROMA,nazionale,in presenza
2024,Roma La Sapienza,Sanitaria e Agro-Veterinaria,Medico-Sanitario e Farmaceutico,L/SNT3,Professioni sanitarie tecniche,Tecniche di Neurofisiopatologia (Abilitante alla Professione Sanitaria di Tecnico di Neurofisiopatologia),triennale,ROMA,ROMA,nazionale,in presenza
2024,Roma La Sapienza,Sanitaria e Agro-Veterinaria,Medico-Sanitario e Farmaceutico,L/SNT3,Professioni sanitarie tecniche,"Tecniche di Radiologia Medica, per Immagini e Radioterapia (Abilitante alla Professione Sanitaria di Tecnico di Radiologia Medica)",triennale,FROSINONE,SORA,nazionale,in presenza
2024,Roma La Sapienza,Sanitaria e Agro-Veterinaria,Medico-Sanitario e Farmaceutico,L/SNT3,Professioni sanitarie tecniche,"Tecniche di Radiologia Medica, per Immagini e Radioterapia (Abilitante alla Professione Sanitaria di Tecnico di Radiologia Medica)",triennale,ISERNIA,POZZILLI,nazionale,in presenza
2024,Roma La Sapienza,Sanitaria e Agro-Veterinaria,Medico-Sanitario e Farmaceutico,L/SNT3,Professioni sanitarie tecniche,"Tecniche di Radiologia Medica, per Immagini e Radioterapia (Abilitante alla Professione Sanitaria di Tecnico di Radiologia Medica)",triennale,LATINA,LATINA,nazionale,in presenza
2024,Roma La Sapienza,Sanitaria e Agro-Veterinaria,Medico-Sanitario e Farmaceutico,L/SNT3,Professioni sanitarie tecniche,"Tecniche di Radiologia Medica, per Immagini e Radioterapia (Abilitante alla Professione Sanitaria di Tecnico di Radiologia Medica)",triennale,RIETI,RIETI,nazionale,in presenza
2024,Roma La Sapienza,Sanitaria e Agro-Veterinaria,Medico-Sanitario e Farmaceutico,L/SNT3,Professioni sanitarie tecniche,"Tecniche di Radiologia Medica, per Immagini e Radioterapia (Abilitante alla Professione Sanitaria di Tecnico di Radiologia Medica)",triennale,ROMA,ROMA,nazionale,in presenza
2024,Roma La Sapienza,Sanitaria e Agro-Veterinaria,Medico-Sanitario e Farmaceutico,L/SNT3,Professioni sanitarie tecniche,"Tecniche di Radiologia Medica, per Immagini e Radioterapia (Abilitante alla Professione Sanitaria di Tecnico di Radiologia Medica)",triennale,VITERBO,VITERBO,nazionale,in presenza
2024,Roma La Sapienza,Sanitaria e Agro-Veterinaria,Medico-Sanitario e Farmaceutico,L/SNT3,Professioni sanitarie tecniche,Tecniche Ortopediche (Abilitante alla Professione Sanitaria di Tecnico Ortopedico),triennale,LATINA,LATINA,nazionale,in presenza
2024,Roma La Sapienza,Sanitaria e Agro-Veterinaria,Medico-Sanitario e Farmaceutico,L/SNT3,Professioni sanitarie tecniche,Tecniche Ortopediche (Abilitante alla Professione Sanitaria di Tecnico Ortopedico),triennale,ROMA,ROMA,nazionale,in presenza
2024,Roma Link Campus,Sanitaria e Agro-Veterinaria,Medico-Sanitario e Farmaceutico,L/SNT3,Professioni sanitarie tecniche,Tecniche di Laboratorio Biomedico (Abilitante alla Professione Sanitaria di Tecnico di Laboratorio Biomedico),triennale,ROMA,ROMA,accesso libero,in presenza
2024,Roma Link Campus,Sanitaria e Agro-Veterinaria,Medico-Sanitario e Farmaceutico,L/SNT3,Professioni sanitarie tecniche,"Tecniche di Radiologia Medica, per Immagini e Radioterapia (Abilitante alla Professione Sanitaria di Tecnico di Radiologia Medica)",triennale,ROMA,ROMA,accesso libero,in presenza
2024,Roma Saint Camillus,Sanitaria e Agro-Veterinaria,Medico-Sanitario e Farmaceutico,L/SNT3,Professioni sanitarie tecniche,Tecniche di Laboratorio Biomedico (Abilitante alla Professione Sanitaria di Tecnico di Laboratorio Biomedico),triennale,ROMA,ROMA,nazionale,in presenza
2024,Roma Saint Camillus,Sanitaria e Agro-Veterinaria,Medico-Sanitario e Farmaceutico,L/SNT3,Professioni sanitarie tecniche,"Tecniche di Radiologia Medica, per Immagini e Radioterapia (Abilitante alla Professione Sanitaria di Tecnico di Radiologia Medica)",triennale,ROMA,ROMA,nazionale,in presenza
2024,Roma Tor Vergata,Sanitaria e Agro-Veterinaria,Medico-Sanitario e Farmaceutico,L/SNT3,Professioni sanitarie tecniche,Dietistica (Abilitante alla Professione Sanitaria di Dietista),triennale,ROMA,ROMA,nazionale,in presenza
2024,Roma Tor Vergata,Sanitaria e Agro-Veterinaria,Medico-Sanitario e Farmaceutico,L/SNT3,Professioni sanitarie tecniche,Igiene Dentale (Abilitante alla Professione Sanitaria di Igienista Dentale),triennale,ROMA,ROMA,nazionale,in presenza
2024,Roma Tor Vergata,Sanitaria e Agro-Veterinaria,Medico-Sanitario e Farmaceutico,L/SNT3,Professioni sanitarie tecniche,Tecniche Audioprotesiche (Abilitante alla Professione Sanitaria di Audioprotesista),triennale,ROMA,ROMA,nazionale,in presenza
2024,Roma Tor Vergata,Sanitaria e Agro-Veterinaria,Medico-Sanitario e Farmaceutico,L/SNT3,Professioni sanitarie tecniche,Tecniche di Fisiopatologia Cardiocircolatoria e Perfusione Cardiovascolare (Abilitante alla Professione Sanitaria di Tecnico di Fisiopatologia Cardiocircolatoria e Perfusione Cardiovascolare),triennale,ROMA,ROMA,nazionale,in presenza
2024,Roma Tor Vergata,Sanitaria e Agro-Veterinaria,Medico-Sanitario e Farmaceutico,L/SNT3,Professioni sanitarie tecniche,Tecniche di Laboratorio Biomedico (Abilitante alla Professione Sanitaria di Tecnico di Laboratorio Biomedico),triennale,ROMA,ROMA,nazionale,in presenza
2024,Roma Tor Vergata,Sanitaria e Agro-Veterinaria,Medico-Sanitario e Farmaceutico,L/SNT3,Professioni sanitarie tecniche,Tecniche di Neurofisiopatologia (Abilitante alla Professione Sanitaria di Tecnico di Neurofisiopatologia),triennale,ROMA,ROMA,nazionale,in presenza
2024,Roma Tor Vergata,Sanitaria e Agro-Veterinaria,Medico-Sanitario e Farmaceutico,L/SNT3,Professioni sanitarie tecniche,"Tecniche di Radiologia Medica, per Immagini e Radioterapia (Abilitante alla Professione Sanitaria di Tecnico di Radiologia Medica)",triennale,ROMA,ROMA,nazionale,in presenza
2024,Roma Tor Vergata,Sanitaria e Agro-Veterinaria,Medico-Sanitario e Farmaceutico,L/SNT3,Professioni sanitarie tecniche,Tecniche Ortopediche (Abilitante alla Professione Sanitaria di Tecnico Ortopedico),triennale,ROMA,ROMA,nazionale,in presenza
2024,Rozzano (MI) Humanitas University,Sanitaria e Agro-Veterinaria,Medico-Sanitario e Farmaceutico,L/SNT3,Professioni sanitarie tecniche,Tecniche di Laboratorio Biomedico (Abilitante alla Professione Sanitaria di Tecnico di Laboratorio Biomedico),triennale,MILANO,PIEVE EMANUELE,nazionale,in presenza
2024,Rozzano (MI) Humanitas University,Sanitaria e Agro-Veterinaria,Medico-Sanitario e Farmaceutico,L/SNT3,Professioni sanitarie tecniche,"Tecniche di Radiologia Medica, per Immagini e Radioterapia (Abilitante alla Professione Sanitaria di Tecnico di Radiologia Medica)",triennale,MILANO,PIEVE EMANUELE,nazionale,in presenza
2024,Salerno,Sanitaria e Agro-Veterinaria,Medico-Sanitario e Farmaceutico,L/SNT3,Professioni sanitarie tecniche,Tecniche di Laboratorio Biomedico (Abilitante alla Professione Sanitaria di Tecnico di Laboratorio Biomedico),triennale,SALERNO,BARONISSI,nazionale,in presenza
2024,Salerno,Sanitaria e Agro-Veterinaria,Medico-Sanitario e Farmaceutico,L/SNT3,Professioni sanitarie tecniche,"Tecniche di Radiologia Medica, per Immagini e Radioterapia (Abilitante alla Professione Sanitaria di Tecnico di Radiologia Medica)",triennale,SALERNO,SALERNO,nazionale,in presenza
2024,Sassari,Sanitaria e Agro-Veterinaria,Medico-Sanitario e Farmaceutico,L/SNT3,Professioni sanitarie tecniche,Tecniche Audiometriche (Abilitante alla Professione Sanitaria di Audiometrista),triennale,SASSARI,SASSARI,nazionale,in presenza
2024,Sassari,Sanitaria e Agro-Veterinaria,Medico-Sanitario e Farmaceutico,L/SNT3,Professioni sanitarie tecniche,Tecniche di Laboratorio Biomedico (Abilitante alla Professione Sanitaria di Tecnico di Laboratorio Biomedico),triennale,SASSARI,SASSARI,nazionale,in presenza
2024,Sassari,Sanitaria e Agro-Veterinaria,Medico-Sanitario e Farmaceutico,L/SNT3,Professioni sanitarie tecniche,"Tecniche di Radiologia Medica, per Immagini e Radioterapia (Abilitante alla Professione Sanitaria di Tecnico di Radiologia Medica)",triennale,SASSARI,SASSARI,nazionale,in presenza
2024,Siena,Sanitaria e Agro-Veterinaria,Medico-Sanitario e Farmaceutico,L/SNT3,Professioni sanitarie tecniche,Dietistica (Abilitante alla Professione Sanitaria di Dietista),triennale,SIENA,SIENA,nazionale,in presenza
2024,Siena,Sanitaria e Agro-Veterinaria,Medico-Sanitario e Farmaceutico,L/SNT3,Professioni sanitarie tecniche,Igiene Dentale (Abilitante alla Professione Sanitaria di Igienista Dentale),triennale,SIENA,SIENA,nazionale,in presenza
2024,Siena,Sanitaria e Agro-Veterinaria,Medico-Sanitario e Farmaceutico,L/SNT3,Professioni sanitarie tecniche,Tecniche Audioprotesiche (Abilitante alla Professione Sanitaria di Audioprotesista),triennale,SIENA,SIENA,nazionale,in presenza
2024,Siena,Sanitaria e Agro-Veterinaria,Medico-Sanitario e Farmaceutico,L/SNT3,Professioni sanitarie tecniche,Tecniche di Fisiopatologia Cardiocircolatoria e Perfusione Cardiovascolare (Abilitante alla Professione Sanitaria di Tecnico di Fisiopatologia Cardiocircolatoria e Perfusione Cardiovascolare),triennale,SIENA,SIENA,nazionale,in presenza
2024,Siena,Sanitaria e Agro-Veterinaria,Medico-Sanitario e Farmaceutico,L/SNT3,Professioni sanitarie tecniche,Tecniche di Laboratorio Biomedico (Abilitante alla Professione Sanitaria di Tecnico di Laboratorio Biomedico),triennale,SIENA,SIENA,nazionale,in presenza
2024,Siena,Sanitaria e Agro-Veterinaria,Medico-Sanitario e Farmaceutico,L/SNT3,Professioni sanitarie tecniche,"Tecniche di Radiologia Medica, per Immagini e Radioterapia (Abilitante alla Professione Sanitaria di Tecnico di Radiologia Medica)",triennale,SIENA,SIENA,nazionale,in presenza
2024,Torino,Sanitaria e Agro-Veterinaria,Medico-Sanitario e Farmaceutico,L/SNT3,Professioni sanitarie tecniche,Dietistica (Abilitante alla Professione Sanitaria di Dietista),triennale,TORINO,TORINO,nazionale,in presenza
2024,Torino,Sanitaria e Agro-Veterinaria,Medico-Sanitario e Farmaceutico,L/SNT3,Professioni sanitarie tecniche,Igiene Dentale (Abilitante alla Professione Sanitaria di Igienista Dentale),triennale,TORINO,TORINO,nazionale,in presenza
2024,Torino,Sanitaria e Agro-Veterinaria,Medico-Sanitario e Farmaceutico,L/SNT3,Professioni sanitarie tecniche,Tecniche Audiometriche (Abilitante alla Professione Sanitaria di Audiometrista),triennale,TORINO,TORINO,nazionale,in presenza
2024,Torino,Sanitaria e Agro-Veterinaria,Medico-Sanitario e Farmaceutico,L/SNT3,Professioni sanitarie tecniche,Tecniche Audioprotesiche (Abilitante alla Professione Sanitaria di Audioprotesista),triennale,TORINO,TORINO,nazionale,in presenza
2024,Torino,Sanitaria e Agro-Veterinaria,Medico-Sanitario e Farmaceutico,L/SNT3,Professioni sanitarie tecniche,Tecniche di Laboratorio Biomedico (Abilitante alla Professione Sanitaria di Tecnico di Laboratorio Biomedico),triennale,CUNEO,CUNEO,nazionale,in presenza
2024,Torino,Sanitaria e Agro-Veterinaria,Medico-Sanitario e Farmaceutico,L/SNT3,Professioni sanitarie tecniche,Tecniche di Laboratorio Biomedico (Abilitante alla Professione Sanitaria di Tecnico di Laboratorio Biomedico),triennale,TORINO,TORINO,nazionale,in presenza
2024,Torino,Sanitaria e Agro-Veterinaria,Medico-Sanitario e Farmaceutico,L/SNT3,Professioni sanitarie tecniche,Tecniche di Neurofisiopatologia (Abilitante alla Professione Sanitaria di Tecnico di Neurofisiopatologia),triennale,TORINO,TORINO,nazionale,in presenza
2024,Torino,Sanitaria e Agro-Veterinaria,Medico-Sanitario e Farmaceutico,L/SNT3,Professioni sanitarie tecniche,"Tecniche di Radiologia Medica, per Immagini e Radioterapia (Abilitante alla Professione Sanitaria di Tecnico di Radiologia Medica)",triennale,CUNEO,CUNEO,nazionale,in presenza
2024,Torino,Sanitaria e Agro-Veterinaria,Medico-Sanitario e Farmaceutico,L/SNT3,Professioni sanitarie tecniche,"Tecniche di Radiologia Medica, per Immagini e Radioterapia (Abilitante alla Professione Sanitaria di Tecnico di Radiologia Medica)",triennale,TORINO,TORINO,nazionale,in presenza
2024,Trieste,Sanitaria e Agro-Veterinaria,Medico-Sanitario e Farmaceutico,L/SNT3,Professioni sanitarie tecniche,Dietistica (Abilitante alla Professione Sanitaria di Dietista),triennale,PORDENONE,PORDENONE,nazionale,in presenza
