cod_ateneo,nome_esteso,nome_operativo,type,kind_descrizione,statale_libera,status,citta,provincia,regione,macro_regione,wikidata_qid,wikidata_enLabel,wikidata_coord,wikidata_website
01504,"Università Cattolica del ""Sacro Cuore""",Milano Cattolica,non-statale,Università,L,A,MILANO,MILANO,LOMBARDIA,NORD-OVEST,Q229022,Catholic University of the Sacred Heart,Point(9.176911111 45.4631),https://www.unicatt.it/en
01505,Libera Università di Lingue e Comunicazione (IULM),Milano IULM,non-statale,Università,L,A,MILANO,MILANO,LOMBARDIA,NORD-OVEST,Q1077639,IULM University of Milan,Point(9.164203 45.4428),https://www.iulm.it
01506,Istituto Superiore di Educazione Fisica di Milano,Milano ISEF,non-statale,ISEF,L,M,,MILANO,LOMBARDIA,NORD-OVEST,,,,
01507,Istituto Superiore di Educazione Fisica della Lombardia,Milano ISEF Lombardia,non-statale,ISEF,L,M,,MILANO,LOMBARDIA,NORD-OVEST,,,,
01508,"Libera Università, Vita-Salute San Raffaele di Milano",Milano San Raffaele,non-statale,Università,L,A,MILANO,MILANO,LOMBARDIA,NORD-OVEST,,,,
01509,Università degli studi di Milano-Bicocca,Milano Bicocca,statale,Università,S,A,MILANO,MILANO,LOMBARDIA,NORD-OVEST,Q1073674,University of Milan-Bicocca,Point(9.213344 45.518406),https://www.unimib.it
01510,Humanitas University,Rozzano (MI) Humanitas University,non-statale,Università,L,A,PIEVE EMANUELE,MILANO,LOMBARDIA,NORD-OVEST,Q59386762,Humanitas University,Point(9.1694 45.3721),https://www.hunimed.eu
01511,Istituto di Ricerche Farmacologiche Mario Negri - IRCCS,Milano - Mario Negri,non-statale,Ente di Ricerca,L,A,MILANO,MILANO,LOMBARDIA,NORD-OVEST,,,,
01601,Università degli studi di Bergamo,Bergamo,statale,Università,S,A,BERGAMO,BERGAMO,LOMBARDIA,NORD-OVEST,Q45855,University of Bergamo,Point(9.6606925 45.704534888),https://www.unibg.it
01701,Università degli studi di Brescia,Brescia,statale,Università,S,A,BRESCIA,BRESCIA,LOMBARDIA,NORD-OVEST,Q1781263,University of Brescia,Point(10.2178 45.538),https://www.unibs.it
01801,Università degli studi di Pavia,Pavia,statale,Università,S,A,PAVIA,PAVIA,LOMBARDIA,NORD-OVEST,Q219317,University of Pavia,Point(9.15586 45.18675),https://portale.unipv.it/it
01802,Istituto universitario di studi superiori di Pavia,Pavia IUSS,statale,Scuola Superiore ad Ordinamento Speciale,S,A,PAVIA,PAVIA,LOMBARDIA,NORD-OVEST,,,,
02101,Libera Università di Bolzano,Bolzano,non-statale,Università,L,A,BOLZANO,BOLZANO,Provincia autonoma di BOLZANO,NORD-EST,Q1231433,Free University of Bozen-Bolzano,Point(11.349438888 46.497925),https://www.unibz.it
02201,Università degli studi di Trento,Trento,statale,Università,S,A,TRENTO,TRENTO,Provincia autonoma di TRENTO,NORD-EST,Q930528,University of Trento,Point(11.121117 46.069426),https://www.unitn.it
02301,Università degli studi di Verona,Verona,statale,Università,S,A,VERONA,VERONA,VENETO,NORD-EST,Q2531629,University of Verona,Point(11.003611 45.436667),https://www.univr.it
02701,Università Ca' Foscari Venezia,Ca' Foscari Venezia,statale,Università,S,A,VENEZIA,VENEZIA,VENETO,NORD-EST,Q1546906,Ca' Foscari University of Venice,Point(12.3266 45.434464),https://www.unive.it
02702,Università Iuav di Venezia,Venezia Iuav,statale,Università,S,A,VENEZIA,VENEZIA,VENETO,NORD-EST,Q727492,IUAV University of Venice,Point(12.314942 45.433125),http://www.iuav.it/homepage
02801,Università degli studi di Padova,Padova,statale,Università,S,A,PADOVA,PADOVA,VENETO,NORD-EST,Q193510,University of Padua,Point(11.87 45.42),https://www.unipd.it/en/
03001,Università degli studi di Udine,Udine,statale,Università,S,A,UDINE,UDINE,FRIULI VENEZIA GIULIA,NORD-EST,Q2307935,University of Udine,Point(13.211666666 46.080833333),https://www.uniud.it
03201,Università degli studi di Trieste,Trieste,statale,Università,S,A,TRIESTE,TRIESTE,FRIULI VENEZIA GIULIA,NORD-EST,Q1751060,University of Trieste,Point(13.79318 45.6585),https://units.it
03202,Scuola internazionale superiore di studi avanzati di Trieste,Trieste SISSA,statale,Scuola Superiore ad Ordinamento Speciale,S,A,TRIESTE,TRIESTE,FRIULI VENEZIA GIULIA,NORD-EST,,,,
03401,Università degli studi di Parma,Parma,statale,Università,S,A,PARMA,PARMA,EMILIA ROMAGNA,NORD-EST,Q1758474,University of Parma,Point(10.3251 44.801),https://www.unipr.it
03601,Università degli studi di Modena e Reggio Emilia,Modena e Reggio Emilia,statale,Università,S,A,MODENA,MODENA,EMILIA ROMAGNA,NORD-EST,Q1243705,University of Modena and Reggio Emilia,Point(10.927861111 44.644944444),https://www.unimore.it
03701,Università degli studi di Bologna,Bologna,statale,Università,S,A,BOLOGNA,BOLOGNA,EMILIA ROMAGNA,NORD-EST,Q131262,University of Bologna,Point(11.342777777 44.493888888),https://www.unibo.it
03702,Istituto Superiore di Educazione Fisica di Bologna,Bologna ISEF,non-statale,ISEF,L,M,,BOLOGNA,EMILIA ROMAGNA,NORD-EST,,,,
03801,Università degli studi di Ferrara,Ferrara,statale,Università,S,A,FERRARA,FERRARA,EMILIA ROMAGNA,NORD-EST,Q955609,University of Ferrara,Point(11.616305555 44.842166666),http://www.unife.it
04101,"Università degli studi ""Carlo Bo"" di Urbino",Urbino,statale,Università,S,A,URBINO,PESARO E URBINO,MARCHE,CENTRO,Q2119752,University of Urbino,Point(12.637 43.722),https://www.uniurb.it
04102,Istituto Superiore di Educazione Fisica di Urbino,Urbino ISEF,non-statale,ISEF,L,M,,PESARO E URBINO,MARCHE,CENTRO,,,,
04201,Università Politecnica delle Marche - Ancona,Marche,statale,Università,S,A,ANCONA,ANCONA,MARCHE,CENTRO,Q1084409,Polytechnic University of the Marches,Point(13.5127 43.6173),https://www.univpm.it/Entra/
04301,Università degli studi di Macerata,Macerata,statale,Università,S,A,MACERATA,MACERATA,MARCHE,CENTRO,Q1742507,University of Macerata,Point(13.44988516 43.299293707),https://www.unimc.it
04302,Università degli studi di Camerino,Camerino,statale,Università,S,A,CAMERINO,MACERATA,MARCHE,CENTRO,Q676817,University of Camerino,Point(13.06855556 43.13588889),https://www.unicam.it
04601,Scuola IMT Alti Studi di Lucca,Lucca IMT,statale,Scuola Superiore ad Ordinamento Speciale,S,A,LUCCA,LUCCA,TOSCANA,CENTRO,,,,
04801,Università degli studi di Firenze,Firenze,statale,Università,S,A,FIRENZE,FIRENZE,TOSCANA,CENTRO,Q820887,University of Florence,Point(11.25951 43.77777),https://www.unifi.it/
04802,Istituto Superiore di Educazione Fisica di Firenze,Firenze ISEF,non-statale,ISEF,L,M,,FIRENZE,TOSCANA,CENTRO,,,,
04803,Istituto Italiano di Scienze Umane di Firenze,Firenze - Istituto Italiano di Scienze Umane,statale,Scuola Superiore ad Ordinamento Speciale,S,M,,FIRENZE,TOSCANA,CENTRO,,,,
04804,"Università telematica ""Italian University line"" di Firenze",Firenze IUL - telematica,telematica,Universita Telematica,L,A,FIRENZE,FIRENZE,TOSCANA,CENTRO,,,,
